ID,Status
ID_001,1
ID_002,1
ID_003,1
ID_004,1
ID_005,1
ID_006,1
ID_007,1
ID_008,1
ID_009,2
ID_010,1
ID_011,1
ID_012,1
ID_013,2
ID_014,1
ID_015,1
ID_016,2
ID_017,1
ID_018,2
ID_019,1
ID_020,1
ID_021,1
ID_022,1
ID_023,1
ID_024,1
ID_025,2
ID_026,1
ID_027,1
ID_028,1
ID_029,2
ID_030,2
ID_031,1
ID_032,1
ID_033,2
ID_034,2
ID_035,2
ID_036,1
ID_037,2
ID_038,1
ID_039,1
ID_040,1
ID_041,1
ID_042,2
ID_043,2
ID_044,1
ID_045,2
ID_046,2
ID_047,1
ID_048,1
ID_049,1
ID_050,1
ID_051,1
ID_052,1
ID_053,1
ID_054,1
ID_055,1
ID_056,1
ID_057,2
ID_058,2
ID_059,1
ID_060,2
ID_061,1
ID_062,1
ID_063,1
ID_064,1
ID_065,1
ID_066,1
ID_067,1
ID_068,1
ID_069,1
ID_070,2
ID_071,1
ID_072,1
ID_073,1
ID_074,1
ID_075,1
ID_076,2
ID_077,1
ID_078,1
ID_079,2
ID_080,1
ID_081,1
ID_082,1
ID_083,2
ID_084,1
ID_085,1
ID_086,1
ID_087,2
ID_088,1
ID_089,1
ID_090,1
ID_091,1
ID_092,1
ID_093,1
ID_094,1
ID_095,1
ID_096,1
ID_097,1
ID_098,1
ID_099,1
ID_100,1
ID_101,2
ID_102,2
ID_103,1
ID_104,2
ID_105,1
ID_106,2
ID_107,2
ID_108,2
ID_109,2
ID_110,2
ID_111,2
ID_112,1
ID_113,2
ID_114,1
ID_115,2
ID_116,2
ID_117,1
ID_118,1
ID_119,1
ID_120,1
ID_121,1
ID_122,1
ID_123,2
ID_124,1
ID_125,2
ID_126,2
ID_127,1
ID_128,1
ID_129,1
ID_130,1
ID_131,1
ID_132,2
ID_133,2
ID_134,1
ID_135,1
ID_136,1
ID_137,1
ID_138,1
ID_139,1
ID_140,1
ID_141,2
ID_142,1
ID_143,1
ID_144,1
ID_145,1
ID_146,2
ID_147,1
ID_148,1
ID_149,1
ID_150,1
ID_151,2
ID_152,1
ID_153,1
ID_154,2
ID_155,1
ID_156,1
ID_157,1
ID_158,1
ID_159,1
ID_160,1
ID_161,1
ID_162,1
ID_163,1
ID_164,1
ID_165,1
ID_166,1
ID_167,1
ID_168,1
ID_169,1
ID_170,1
ID_171,1
ID_172,1
ID_173,1
ID_174,1
ID_175,1
ID_176,1
ID_177,1
ID_178,1
ID_179,1
ID_180,1
ID_181,1
ID_182,1
ID_183,2
ID_184,1
ID_185,1
ID_186,2
ID_187,1
ID_188,1
ID_189,1
ID_190,2
ID_191,1
ID_192,1
ID_193,1
ID_194,2
ID_195,2
ID_196,1
ID_197,1
ID_198,1
ID_199,2
ID_200,1
ID_201,1
ID_202,1
ID_203,2
ID_204,2
ID_205,2
ID_206,1
ID_207,1
ID_208,1
ID_209,1
ID_210,1
ID_211,1
ID_212,1
ID_213,2
ID_214,1
ID_215,1
ID_216,2
ID_217,2
ID_218,1
ID_219,2
ID_220,1
ID_221,1
ID_222,1
ID_223,1
ID_224,2
ID_225,1
ID_226,1
ID_227,1
ID_228,1
ID_229,2
ID_230,1
ID_231,2
ID_232,1
ID_233,1
ID_234,1
ID_235,1
ID_236,1
ID_237,2
ID_238,1
ID_239,2
ID_240,1
ID_241,2
ID_242,1
ID_243,1
ID_244,1
ID_245,1
ID_246,1
ID_247,1
ID_248,1
ID_249,1
ID_250,1
ID_251,1
ID_252,1
ID_253,2
ID_254,2
ID_255,2
ID_256,1
ID_257,1
ID_258,1
ID_259,2
ID_260,1
ID_261,1
ID_262,1
ID_263,1
ID_264,1
ID_265,2
ID_266,2
ID_267,1
ID_268,1
ID_269,1
ID_270,1
ID_271,1
ID_272,2
ID_273,1
ID_274,1
ID_275,1
ID_276,2
ID_277,2
ID_278,1
ID_279,1
ID_280,1
ID_281,1
ID_282,2
ID_283,1
ID_284,2
ID_285,1
ID_286,1
ID_287,1
ID_288,2
ID_289,1
ID_290,1
ID_291,1
ID_292,2
ID_293,1
ID_294,2
ID_295,1
ID_296,1
ID_297,1
ID_298,2
ID_299,1
ID_300,2
ID_301,2
ID_302,1
ID_303,1
ID_304,2
ID_305,1
ID_306,2
ID_307,1
ID_308,1
ID_309,1
ID_310,1
ID_311,1
ID_312,1
ID_313,2
ID_314,2
ID_315,1
ID_316,2
ID_317,2
ID_318,1
ID_319,1
ID_320,2
ID_321,1
ID_322,1
ID_323,1
ID_324,2
